date,description,amount
2026-08-01,Starbucks Coffee,5.75
2026-08-01,Uber Ride,18.50
2026-08-02,Amazon Purchase,45.99
2026-08-03,Shell Gas Station,52.00
2026-08-04,Chipotle,12.40
2026-08-05,Target,89.20
2026-08-06,Netflix Subscription,15.99
2026-08-07,Whole Foods Market,63.75
2026-08-08,Doordash Delivery,28.30
2026-08-09,Con Edison Electric Bill,110.00
2026-08-10,McDonald's,9.50
2026-08-11,Lyft Ride,14.20
2026-08-12,Amazon Purchase,32.10
2026-08-13,Starbucks Coffee,6.25
2026-08-14,Exxon Gas Station,48.75
